"","id","sp","trait"
"1460","417463","spp_835",0.314226427581161
"1462","263305","spp_527",0.423308877041563
"1463","533332","spp_1067",0.404434646014124
"1468","303884","spp_608",0.404341007582843
"1470","645290","spp_1291",0.35604981915094
"1472","29946","spp_60",0.335831823991612
"1477","510113","spp_1021",0.480980022344738
"1478","153443","spp_307",0.389783077174798
"1481","465546","spp_932",0.466731718042865
"1483","127140","spp_255",0.44024863652885
"1487","31321","spp_63",0.415302788838744
"1488","452271","spp_905",0.428638434037566
"1489","734466","spp_1469",0.42360616941005
"1490","279629","spp_560",0.482905605342239
"1491","153373","spp_307",0.389783077174798
"1494","226807","spp_454",0.381154208211228
"1495","731103","spp_1463",0.451277104904875
"1498","132912","spp_266",0.454023540019989
"1499","23737","spp_48",0.328738661948591
"1500","937619","spp_1876",0.379905195208266
"1503","861097","spp_1723",0.358822154579684
"1504","655016","spp_1311",0.376354082487524
"1510","818991","spp_1638",0.272625819779932
"1511","780226","spp_1561",0.363238910678774
"1512","153485","spp_307",0.389783077174798
"1514","893160","spp_1787",0.415593885816634
"1516","14090","spp_29",0.423289278289303
"1517","811232","spp_1623",0.405145169002935
"1518","850480","spp_1701",0.413001545472071
"1519","658903","spp_1318",0.444637711159885
"1521","366724","spp_734",0.504464965546504
"1522","448185","spp_897",0.419699385063723
"1524","215459","spp_431",0.380451056407765
"1526","338412","spp_677",0.275677727768198
"1531","304528","spp_610",0.396362992469221
"1533","510615","spp_1022",0.398979217978194
"1536","425302","spp_851",0.500364199047908
"1541","839266","spp_1679",0.458965332480147
"1546","673318","spp_1347",0.428651690483093
"1550","323024","spp_647",0.41138336295262
"1553","707305","spp_1415",0.380127796670422
"1554","59520","spp_120",0.397932325489819
"1556","503862","spp_1008",0.384457887150347
"1564","483706","spp_968",0.445242952089757
"1565","912886","spp_1826",0.374086470110342
"1566","228695","spp_458",0.409026453271508
"1571","859919","spp_1720",0.378339441725984
"1576","422793","spp_846",0.390242689521983
"1580","732369","spp_1465",0.376035615568981
"1581","734363","spp_1469",0.42360616941005
"1582","169280","spp_339",0.475769038312137
"1584","342214","spp_685",0.36970187863335
"1587","731300","spp_1463",0.451277104904875
"1588","84947","spp_170",0.410716709448025
"1589","169330","spp_339",0.475769038312137
"1591","977175","spp_1955",0.363543333020061
"1596","912849","spp_1826",0.374086470110342
"1597","537752","spp_1076",0.420440385350958
"1598","448411","spp_897",0.419699385063723
"1601","126918","spp_254",0.452323199016973
"1602","978008","spp_1957",0.294080661144108
"1604","527486","spp_1055",0.369244974572212
"1605","583461","spp_1167",0.481175686698407
"1607","343632","spp_688",0.387879765126854
"1613","556570","spp_1114",0.427823302103207
"1615","755458","spp_1511",0.30964243481867
"1617","861354","spp_1723",0.358822154579684
"1619","59869","spp_120",0.397932325489819
"1629","355921","spp_712",0.326656053075567
"1631","782146","spp_1565",0.442499597324058
"1633","281540","spp_564",0.400859429035336
